resource_id,module,topic,difficulty,resource_type,title,description,url
R128,CCC,Feature Engineering,Intermediate,Practice Exercise,Intermediate Guide to Feature Engineering for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Feature Engineering tailored for CCC students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R129,BBB,Data Preprocessing,Intermediate,Practice Exercise,Intermediate Guide to Data Preprocessing for Module BBB (Practice Exercise),Comprehensive practice exercise covering the concepts of Data Preprocessing tailored for BBB students.,https://scikit-learn.org/stable/modules/preprocessing.html
R130,GGG,Neural Networks,Advanced,Research Paper,Advanced Guide to Neural Networks for Module GGG (Research Paper),Comprehensive research paper covering the concepts of Neural Networks tailored for GGG students.,https://www.ibm.com/topics/neural-networks
R131,AAA,Data Preprocessing,Beginner,Video,Beginner Guide to Data Preprocessing for Module AAA (Video),Comprehensive video covering the concepts of Data Preprocessing tailored for AAA students.,https://scikit-learn.org/stable/modules/preprocessing.html
R132,BBB,Data Preprocessing,Beginner,Notebook,Beginner Guide to Data Preprocessing for Module BBB (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for BBB students.,https://scikit-learn.org/stable/modules/preprocessing.html
R133,FFF,Classification,Advanced,Video,Advanced Guide to Classification for Module FFF (Video),Comprehensive video covering the concepts of Classification tailored for FFF students.,https://scikit-learn.org/stable/supervised_learning.html
R134,FFF,Data Preprocessing,Intermediate,Practice Exercise,Intermediate Guide to Data Preprocessing for Module FFF (Practice Exercise),Comprehensive practice exercise covering the concepts of Data Preprocessing tailored for FFF students.,https://scikit-learn.org/stable/modules/preprocessing.html
R135,FFF,Decision Trees,Advanced,Video,Advanced Guide to Decision Trees for Module FFF (Video),Comprehensive video covering the concepts of Decision Trees tailored for FFF students.,https://scikit-learn.org/stable/modules/tree.html
R136,CCC,Feature Engineering,Intermediate,Research Paper,Intermediate Guide to Feature Engineering for Module CCC (Research Paper),Comprehensive research paper covering the concepts of Feature Engineering tailored for CCC students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R137,FFF,Decision Trees,Intermediate,Notebook,Intermediate Guide to Decision Trees for Module FFF (Notebook),Comprehensive notebook covering the concepts of Decision Trees tailored for FFF students.,https://scikit-learn.org/stable/modules/tree.html
R138,AAA,Decision Trees,Intermediate,Research Paper,Intermediate Guide to Decision Trees for Module AAA (Research Paper),Comprehensive research paper covering the concepts of Decision Trees tailored for AAA students.,https://scikit-learn.org/stable/modules/tree.html
R139,EEE,Feature Engineering,Advanced,Notebook,Advanced Guide to Feature Engineering for Module EEE (Notebook),Comprehensive notebook covering the concepts of Feature Engineering tailored for EEE students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R140,BBB,Model Evaluation,Intermediate,Research Paper,Intermediate Guide to Model Evaluation for Module BBB (Research Paper),Comprehensive research paper covering the concepts of Model Evaluation tailored for BBB students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R141,DDD,Clustering,Advanced,Tutorial,Advanced Guide to Clustering for Module DDD (Tutorial),Comprehensive tutorial covering the concepts of Clustering tailored for DDD students.,https://scikit-learn.org/stable/modules/clustering.html
R142,CCC,Data Preprocessing,Beginner,Article,Beginner Guide to Data Preprocessing for Module CCC (Article),Comprehensive article covering the concepts of Data Preprocessing tailored for CCC students.,https://scikit-learn.org/stable/modules/preprocessing.html
R143,DDD,Decision Trees,Intermediate,Video,Intermediate Guide to Decision Trees for Module DDD (Video),Comprehensive video covering the concepts of Decision Trees tailored for DDD students.,https://scikit-learn.org/stable/modules/tree.html
R144,DDD,Neural Networks,Intermediate,Research Paper,Intermediate Guide to Neural Networks for Module DDD (Research Paper),Comprehensive research paper covering the concepts of Neural Networks tailored for DDD students.,https://www.ibm.com/topics/neural-networks
R145,AAA,Decision Trees,Intermediate,Article,Intermediate Guide to Decision Trees for Module AAA (Article),Comprehensive article covering the concepts of Decision Trees tailored for AAA students.,https://scikit-learn.org/stable/modules/tree.html
R146,CCC,Neural Networks,Beginner,Practice Exercise,Beginner Guide to Neural Networks for Module CCC (Practice Exercise),Comprehensive practice exercise covering the concepts of Neural Networks tailored for CCC students.,https://www.ibm.com/topics/neural-networks
R147,GGG,Feature Engineering,Advanced,Practice Exercise,Advanced Guide to Feature Engineering for Module GGG (Practice Exercise),Comprehensive practice exercise covering the concepts of Feature Engineering tailored for GGG students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R148,EEE,Clustering,Intermediate,Article,Intermediate Guide to Clustering for Module EEE (Article),Comprehensive article covering the concepts of Clustering tailored for EEE students.,https://scikit-learn.org/stable/modules/clustering.html
R149,DDD,Feature Engineering,Intermediate,Tutorial,Intermediate Guide to Feature Engineering for Module DDD (Tutorial),Comprehensive tutorial covering the concepts of Feature Engineering tailored for DDD students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R150,BBB,Neural Networks,Beginner,Research Paper,Beginner Guide to Neural Networks for Module BBB (Research Paper),Comprehensive research paper covering the concepts of Neural Networks tailored for BBB students.,https://www.ibm.com/topics/neural-networks
R151,FFF,Decision Trees,Intermediate,Notebook,Intermediate Guide to Decision Trees for Module FFF (Notebook),Comprehensive notebook covering the concepts of Decision Trees tailored for FFF students.,https://scikit-learn.org/stable/modules/tree.html
R152,EEE,Model Evaluation,Intermediate,Notebook,Intermediate Guide to Model Evaluation for Module EEE (Notebook),Comprehensive notebook covering the concepts of Model Evaluation tailored for EEE students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R153,GGG,Clustering,Beginner,Video,Beginner Guide to Clustering for Module GGG (Video),Comprehensive video covering the concepts of Clustering tailored for GGG students.,https://scikit-learn.org/stable/modules/clustering.html
R154,AAA,Model Evaluation,Intermediate,Practice Exercise,Intermediate Guide to Model Evaluation for Module AAA (Practice Exercise),Comprehensive practice exercise covering the concepts of Model Evaluation tailored for AAA students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R155,DDD,Model Evaluation,Advanced,Notebook,Advanced Guide to Model Evaluation for Module DDD (Notebook),Comprehensive notebook covering the concepts of Model Evaluation tailored for DDD students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R156,AAA,NLP Basics,Beginner,Research Paper,Beginner Guide to NLP Basics for Module AAA (Research Paper),Comprehensive research paper covering the concepts of NLP Basics tailored for AAA students.,https://huggingface.co/learn/nlp-course/chapter1/1
R157,FFF,Clustering,Intermediate,Notebook,Intermediate Guide to Clustering for Module FFF (Notebook),Comprehensive notebook covering the concepts of Clustering tailored for FFF students.,https://scikit-learn.org/stable/modules/clustering.html
R158,CCC,NLP Basics,Beginner,Video,Beginner Guide to NLP Basics for Module CCC (Video),Comprehensive video covering the concepts of NLP Basics tailored for CCC students.,https://huggingface.co/learn/nlp-course/chapter1/1
R159,FFF,NLP Basics,Advanced,Tutorial,Advanced Guide to NLP Basics for Module FFF (Tutorial),Comprehensive tutorial covering the concepts of NLP Basics tailored for FFF students.,https://huggingface.co/learn/nlp-course/chapter1/1
R160,AAA,Clustering,Beginner,Research Paper,Beginner Guide to Clustering for Module AAA (Research Paper),Comprehensive research paper covering the concepts of Clustering tailored for AAA students.,https://scikit-learn.org/stable/modules/clustering.html
R161,BBB,Classification,Beginner,Research Paper,Beginner Guide to Classification for Module BBB (Research Paper),Comprehensive research paper covering the concepts of Classification tailored for BBB students.,https://scikit-learn.org/stable/supervised_learning.html
R162,EEE,NLP Basics,Beginner,Practice Exercise,Beginner Guide to NLP Basics for Module EEE (Practice Exercise),Comprehensive practice exercise covering the concepts of NLP Basics tailored for EEE students.,https://huggingface.co/learn/nlp-course/chapter1/1
R163,EEE,Clustering,Intermediate,Practice Exercise,Intermediate Guide to Clustering for Module EEE (Practice Exercise),Comprehensive practice exercise covering the concepts of Clustering tailored for EEE students.,https://scikit-learn.org/stable/modules/clustering.html
R164,FFF,Model Evaluation,Intermediate,Tutorial,Intermediate Guide to Model Evaluation for Module FFF (Tutorial),Comprehensive tutorial covering the concepts of Model Evaluation tailored for FFF students.,https://scikit-learn.org/stable/modules/model_evaluation.html
R165,BBB,NLP Basics,Advanced,Article,Advanced Guide to NLP Basics for Module BBB (Article),Comprehensive article covering the concepts of NLP Basics tailored for BBB students.,https://huggingface.co/learn/nlp-course/chapter1/1
R166,DDD,Decision Trees,Advanced,Research Paper,Advanced Guide to Decision Trees for Module DDD (Research Paper),Comprehensive research paper covering the concepts of Decision Trees tailored for DDD students.,https://scikit-learn.org/stable/modules/tree.html
R167,GGG,Classification,Intermediate,Article,Intermediate Guide to Classification for Module GGG (Article),Comprehensive article covering the concepts of Classification tailored for GGG students.,https://scikit-learn.org/stable/supervised_learning.html
R168,FFF,Feature Engineering,Advanced,Notebook,Advanced Guide to Feature Engineering for Module FFF (Notebook),Comprehensive notebook covering the concepts of Feature Engineering tailored for FFF students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R169,GGG,Data Preprocessing,Advanced,Tutorial,Advanced Guide to Data Preprocessing for Module GGG (Tutorial),Comprehensive tutorial covering the concepts of Data Preprocessing tailored for GGG students.,https://scikit-learn.org/stable/modules/preprocessing.html
R170,FFF,Decision Trees,Intermediate,Notebook,Intermediate Guide to Decision Trees for Module FFF (Notebook),Comprehensive notebook covering the concepts of Decision Trees tailored for FFF students.,https://scikit-learn.org/stable/modules/tree.html
R171,AAA,NLP Basics,Beginner,Practice Exercise,Beginner Guide to NLP Basics for Module AAA (Practice Exercise),Comprehensive practice exercise covering the concepts of NLP Basics tailored for AAA students.,https://huggingface.co/learn/nlp-course/chapter1/1
R172,BBB,Data Preprocessing,Beginner,Notebook,Beginner Guide to Data Preprocessing for Module BBB (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for BBB students.,https://scikit-learn.org/stable/modules/preprocessing.html
R173,FFF,Data Preprocessing,Beginner,Research Paper,Beginner Guide to Data Preprocessing for Module FFF (Research Paper),Comprehensive research paper covering the concepts of Data Preprocessing tailored for FFF students.,https://scikit-learn.org/stable/modules/preprocessing.html
R174,CCC,Decision Trees,Advanced,Research Paper,Advanced Guide to Decision Trees for Module CCC (Research Paper),Comprehensive research paper covering the concepts of Decision Trees tailored for CCC students.,https://scikit-learn.org/stable/modules/tree.html
R175,EEE,Decision Trees,Intermediate,Video,Intermediate Guide to Decision Trees for Module EEE (Video),Comprehensive video covering the concepts of Decision Trees tailored for EEE students.,https://scikit-learn.org/stable/modules/tree.html
R176,CCC,Neural Networks,Intermediate,Notebook,Intermediate Guide to Neural Networks for Module CCC (Notebook),Comprehensive notebook covering the concepts of Neural Networks tailored for CCC students.,https://www.ibm.com/topics/neural-networks
R177,GGG,NLP Basics,Beginner,Practice Exercise,Beginner Guide to NLP Basics for Module GGG (Practice Exercise),Comprehensive practice exercise covering the concepts of NLP Basics tailored for GGG students.,https://huggingface.co/learn/nlp-course/chapter1/1
R178,CCC,Feature Engineering,Beginner,Notebook,Beginner Guide to Feature Engineering for Module CCC (Notebook),Comprehensive notebook covering the concepts of Feature Engineering tailored for CCC students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R179,AAA,Feature Engineering,Intermediate,Article,Intermediate Guide to Feature Engineering for Module AAA (Article),Comprehensive article covering the concepts of Feature Engineering tailored for AAA students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R180,FFF,Classification,Intermediate,Practice Exercise,Intermediate Guide to Classification for Module FFF (Practice Exercise),Comprehensive practice exercise covering the concepts of Classification tailored for FFF students.,https://scikit-learn.org/stable/supervised_learning.html
R181,EEE,Decision Trees,Beginner,Video,Beginner Guide to Decision Trees for Module EEE (Video),Comprehensive video covering the concepts of Decision Trees tailored for EEE students.,https://scikit-learn.org/stable/modules/tree.html
R182,AAA,Classification,Intermediate,Notebook,Intermediate Guide to Classification for Module AAA (Notebook),Comprehensive notebook covering the concepts of Classification tailored for AAA students.,https://scikit-learn.org/stable/supervised_learning.html
R183,AAA,NLP Basics,Intermediate,Video,Intermediate Guide to NLP Basics for Module AAA (Video),Comprehensive video covering the concepts of NLP Basics tailored for AAA students.,https://huggingface.co/learn/nlp-course/chapter1/1
R184,BBB,NLP Basics,Intermediate,Research Paper,Intermediate Guide to NLP Basics for Module BBB (Research Paper),Comprehensive research paper covering the concepts of NLP Basics tailored for BBB students.,https://huggingface.co/learn/nlp-course/chapter1/1
R185,FFF,Decision Trees,Advanced,Article,Advanced Guide to Decision Trees for Module FFF (Article),Comprehensive article covering the concepts of Decision Trees tailored for FFF students.,https://scikit-learn.org/stable/modules/tree.html
R186,FFF,Clustering,Advanced,Research Paper,Advanced Guide to Clustering for Module FFF (Research Paper),Comprehensive research paper covering the concepts of Clustering tailored for FFF students.,https://scikit-learn.org/stable/modules/clustering.html
R187,GGG,Feature Engineering,Beginner,Research Paper,Beginner Guide to Feature Engineering for Module GGG (Research Paper),Comprehensive research paper covering the concepts of Feature Engineering tailored for GGG students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R188,GGG,Neural Networks,Intermediate,Article,Intermediate Guide to Neural Networks for Module GGG (Article),Comprehensive article covering the concepts of Neural Networks tailored for GGG students.,https://www.ibm.com/topics/neural-networks
R189,FFF,Feature Engineering,Beginner,Tutorial,Beginner Guide to Feature Engineering for Module FFF (Tutorial),Comprehensive tutorial covering the concepts of Feature Engineering tailored for FFF students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R190,AAA,Data Preprocessing,Beginner,Notebook,Beginner Guide to Data Preprocessing for Module AAA (Notebook),Comprehensive notebook covering the concepts of Data Preprocessing tailored for AAA students.,https://scikit-learn.org/stable/modules/preprocessing.html
R191,FFF,Classification,Advanced,Article,Advanced Guide to Classification for Module FFF (Article),Comprehensive article covering the concepts of Classification tailored for FFF students.,https://scikit-learn.org/stable/supervised_learning.html
R192,DDD,Neural Networks,Intermediate,Article,Intermediate Guide to Neural Networks for Module DDD (Article),Comprehensive article covering the concepts of Neural Networks tailored for DDD students.,https://www.ibm.com/topics/neural-networks
R193,FFF,Classification,Intermediate,Video,Intermediate Guide to Classification for Module FFF (Video),Comprehensive video covering the concepts of Classification tailored for FFF students.,https://scikit-learn.org/stable/supervised_learning.html
R194,DDD,Feature Engineering,Beginner,Practice Exercise,Beginner Guide to Feature Engineering for Module DDD (Practice Exercise),Comprehensive practice exercise covering the concepts of Feature Engineering tailored for DDD students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R195,BBB,Clustering,Beginner,Notebook,Beginner Guide to Clustering for Module BBB (Notebook),Comprehensive notebook covering the concepts of Clustering tailored for BBB students.,https://scikit-learn.org/stable/modules/clustering.html
R196,GGG,Decision Trees,Advanced,Practice Exercise,Advanced Guide to Decision Trees for Module GGG (Practice Exercise),Comprehensive practice exercise covering the concepts of Decision Trees tailored for GGG students.,https://scikit-learn.org/stable/modules/tree.html
R197,GGG,Feature Engineering,Intermediate,Video,Intermediate Guide to Feature Engineering for Module GGG (Video),Comprehensive video covering the concepts of Feature Engineering tailored for GGG students.,https://machinelearningmastery.com/discover-feature-engineering-how-to-engineer-features-and-how-to-get-good-at-it/
R198,AAA,Classification,Beginner,Notebook,Beginner Guide to Classification for Module AAA (Notebook),Comprehensive notebook covering the concepts of Classification tailored for AAA students.,https://scikit-learn.org/stable/supervised_learning.html
R199,CCC,NLP Basics,Advanced,Notebook,Advanced Guide to NLP Basics for Module CCC (Notebook),Comprehensive notebook covering the concepts of NLP Basics tailored for CCC students.,https://huggingface.co/learn/nlp-course/chapter1/1
R200,CCC,Model Evaluation,Beginner,Video,Beginner Guide to Model Evaluation for Module CCC (Video),Comprehensive video covering the concepts of Model Evaluation tailored for CCC students.,https://scikit-learn.org/stable/modules/model_evaluation.html
